Time (s),Temperature (K),Rate (s-1),Extent
4.158415841584158557e+01,3.033960396039603893e+02,2.809321210666765709e-06,7.040413001934115822e-05
4.176417641764176381e+01,3.034410441044104232e+02,2.822565196961952706e-06,7.090985841010025300e-05
4.194419441944194205e+01,3.034860486048604571e+02,2.835867658809467059e-06,7.141797095680807591e-05
4.212421242124212029e+01,3.035310531053105478e+02,2.849228836302860617e-06,7.192847818611670030e-05
4.230423042304230563e+01,3.035760576057605817e+02,2.862648970443949340e-06,7.244139066789940411e-05
4.248424842484248387e+01,3.036210621062106156e+02,2.876128303146126046e-06,7.295671901541405920e-05
4.266426642664266211e+01,3.036660666066606495e+02,2.889667077237342389e-06,7.347447388546736078e-05
4.284428442844284746e+01,3.037110711071106834e+02,2.903265536463336482e-06,7.399466597857940939e-05
4.302430243024302570e+01,3.037560756075607742e+02,2.916923925490829593e-06,7.451730603914886195e-05
4.320432043204320394e+01,3.038010801080108081e+02,2.930642489910509403e-06,7.504240485561885533e-05
4.338433843384338218e+01,3.038460846084608420e+02,2.944421476240444813e-06,7.556997326064324172e-05
4.356435643564356042e+01,3.038910891089108759e+02,2.958261131929083594e-06,7.610002213125358279e-05
4.374437443744374576e+01,3.039360936093609098e+02,2.972161705358562597e-06,7.663256238902660476e-05
4.392439243924392400e+01,3.039810981098110005e+02,2.986123445847889625e-06,7.716760500025226328e-05
4.410441044104410224e+01,3.040261026102610344e+02,3.000146603656032994e-06,7.770516097610245885e-05
4.428442844284428759e+01,3.040711071107110683e+02,3.014231429985375299e-06,7.824524137280022655e-05
4.446444644464446583e+01,3.041161116111611022e+02,3.028378176984759357e-06,7.878785729178948145e-05
4.464446444644464407e+01,3.041611161116111361e+02,3.042587097752814072e-06,7.933301987990555007e-05
4.482448244824482231e+01,3.042061206120612269e+02,3.056858446341245161e-06,7.988074032954601352e-05
4.500450045004500055e+01,3.042511251125112608e+02,3.071192477757909887e-06,8.043102987884236381e-05
4.518451845184518589e+01,3.042961296129612947e+02,3.085589447970384333e-06,8.098389981183210743e-05
4.536453645364536413e+01,3.043411341134113286e+02,3.100049613908988585e-06,8.153936145863145159e-05
4.554455445544554237e+01,3.043861386138613625e+02,3.114573233470233303e-06,8.209742619560876306e-05
4.572457245724572772e+01,3.044311431143114532e+02,3.129160565520107910e-06,8.265810544555841997e-05
4.590459045904590596e+01,3.044761476147614871e+02,3.143811869897256114e-06,8.322141067787525994e-05
4.608460846084608420e+01,3.045211521152115210e+02,3.158527407416495753e-06,8.378735340872984138e-05
4.626462646264626244e+01,3.045661566156615550e+02,3.173307439872089617e-06,8.435594520124405711e-05
4.644464446444644068e+01,3.046111611161115889e+02,3.188152230040962050e-06,8.492719766566746631e-05
4.662466246624662602e+01,3.046561656165616796e+02,3.203062041686293340e-06,8.550112245955424984e-05
4.680468046804680426e+01,3.047011701170117135e+02,3.218037139560598254e-06,8.607773128794061286e-05
4.698469846984698250e+01,3.047461746174617474e+02,3.233077789409365746e-06,8.665703590352306831e-05
4.716471647164716785e+01,3.047911791179117813e+02,3.248184257974328073e-06,8.723904810683709985e-05
4.734473447344734609e+01,3.048361836183618152e+02,3.263356812996798110e-06,8.782377974643643473e-05
4.752475247524752433e+01,3.048811881188119060e+02,3.278595723221250604e-06,8.841124271907311618e-05
4.770477047704770257e+01,3.049261926192619399e+02,3.293901258398468054e-06,8.900144896987800954e-05
4.788478847884788081e+01,3.049711971197119738e+02,3.309273689289250714e-06,8.959441049254199957e-05
